temperature  time_stamp                      
-----------  --------------------------------
34.09        2020-11-16 14:22:01.703660+00:00
22.4         2020-11-16 14:44:47.054568+00:00
22.4         2020-11-16 14:44:57.470940+00:00
22.5         2020-11-16 14:45:04.061676+00:00
22.5         2020-11-16 14:45:12.279477+00:00
22.5         2020-11-16 14:45:18.672274+00:00
22.5         2020-11-16 14:45:25.011644+00:00
22.5         2020-11-16 14:45:36.408640+00:00
22.5         2020-11-16 14:45:44.216460+00:00
22.5         2020-11-16 14:45:50.574272+00:00
22.5         2020-11-16 14:45:58.437349+00:00
22.5         2020-11-16 14:46:09.529794+00:00
22.5         2020-11-16 14:46:17.385600+00:00
22.5         2020-11-16 14:46:25.342758+00:00
22.5         2020-11-16 14:46:31.240332+00:00
22.5         2020-11-16 14:46:38.605254+00:00
22.5         2020-11-16 14:46:43.844958+00:00
22.8         2020-11-16 14:46:49.334560+00:00
22.6         2020-11-16 14:46:55.027061+00:00
22.6         2020-11-16 14:46:59.453110+00:00
22.6         2020-11-16 14:47:09.416324+00:00
22.6         2020-11-16 14:47:14.152068+00:00
22.7         2020-11-16 14:47:21.004698+00:00
22.6         2020-11-16 14:47:26.395933+00:00
22.6         2020-11-16 14:47:31.692113+00:00
22.6         2020-11-16 14:47:36.426033+00:00
22.6         2020-11-16 14:47:40.975337+00:00
